destinationIndex,originIndex,totalWalkDuration,travelDistance,travelDuration,source,target,weight
0,0,0,0.0,0.0,Jakarta,Jakarta,0.0
1,0,0,61.585,59.75,Jakarta,Bogor,61.585
2,0,0,154.346,122.983,Jakarta,Bandung,154.346
3,0,0,86.657,88.917,Jakarta,Cikampek,86.657
4,0,0,225.701,165.35,Jakarta,Cirebon,225.701
5,0,0,259.792,249.833,Jakarta,Tasikmalaya,259.792
6,0,0,293.848,207.717,Jakarta,Tegal,293.848
7,0,0,362.449,323.8,Jakarta,Purwokerto,362.449
8,0,0,442.586,292.35,Jakarta,Semarang,442.586
9,0,0,513.259,360.75,Jakarta,Magelang,513.259
10,0,0,559.114,428.733,Jakarta,Yogyakarta,559.114
11,0,0,745.973,524.3,Jakarta,Tulungagung,745.973
12,0,0,725.55,496.4,Jakarta,Kediri,725.55
13,0,0,856.813,532.383,Jakarta,Malang,856.813
14,0,0,539.992,350.833,Jakarta,Surakarta,539.992
15,0,0,786.442,490.917,Jakarta,Surabaya,786.442
0,1,0,62.689,56.817,Bogor,Jakarta,62.689
1,1,0,0.0,0.0,Bogor,Bogor,0.0
2,1,0,183.372,140.383,Bogor,Bandung,183.372
3,1,0,115.683,106.317,Bogor,Cikampek,115.683
4,1,0,254.727,182.75,Bogor,Cirebon,254.727
5,1,0,288.818,267.233,Bogor,Tasikmalaya,288.818
6,1,0,322.874,225.117,Bogor,Tegal,322.874
7,1,0,391.475,341.2,Bogor,Purwokerto,391.475
8,1,0,471.612,309.75,Bogor,Semarang,471.612
9,1,0,542.285,378.15,Bogor,Magelang,542.285
10,1,0,588.14,446.133,Bogor,Yogyakarta,588.14
11,1,0,774.999,541.7,Bogor,Tulungagung,774.999
12,1,0,754.576,513.8,Bogor,Kediri,754.576
13,1,0,885.839,549.783,Bogor,Malang,885.839
14,1,0,569.018,368.233,Bogor,Surakarta,569.018
15,1,0,815.468,508.317,Bogor,Surabaya,815.468
0,2,0,155.196,124.1,Bandung,Jakarta,155.196
1,2,0,181.769,140.517,Bandung,Bogor,181.769
2,2,0,0.0,0.0,Bandung,Bandung,0.0
3,2,0,87.751,81.667,Bandung,Cikampek,87.751
4,2,0,216.016,155.083,Bandung,Cirebon,216.016
5,2,0,111.12,154.867,Bandung,Tasikmalaya,111.12
6,2,0,284.163,197.45,Bandung,Tegal,284.163
7,2,0,352.764,313.533,Bandung,Purwokerto,352.764
8,2,0,432.901,282.083,Bandung,Semarang,432.901
9,2,0,503.574,350.483,Bandung,Magelang,503.574
10,2,0,549.429,418.483,Bandung,Yogyakarta,549.429
11,2,0,736.288,514.05,Bandung,Tulungagung,736.288
12,2,0,715.865,486.133,Bandung,Kediri,715.865
13,2,0,847.128,522.133,Bandung,Malang,847.128
14,2,0,530.307,340.567,Bandung,Surakarta,530.307
15,2,0,776.757,480.65,Bandung,Surabaya,776.757
0,3,0,93.73,88.65,Cikampek,Jakarta,93.73
1,3,0,120.303,105.067,Cikampek,Bogor,120.303
2,3,0,82.934,76.867,Cikampek,Bandung,82.934
3,3,0,0.0,0.0,Cikampek,Cikampek,0.0
4,3,0,147.488,116.35,Cikampek,Cirebon,147.488
5,3,0,188.38,203.717,Cikampek,Tasikmalaya,188.38
6,3,0,215.635,158.7,Cikampek,Tegal,215.635
7,3,0,284.236,274.8,Cikampek,Purwokerto,284.236
8,3,0,364.373,243.35,Cikampek,Semarang,364.373
